Title,ReleaseDate,TypeCode,Price,Size,DLCName,Hash
[Rocksmith 2014 Edition],2018/07/10,30,7.99,16,Run-D.M.C. Song Pack,1883A3A5B513A978544D5DB47222D95637A330D258
[Rocksmith 2014 Edition],2019/10/29,30,7.99,9,The Zombies Song Pack,E442895AB7FEF606D1078072F69ECC82A49C27AE58
[Rocksmith 2014 Edition],2016/11/15,30,2.99,5,Stevie Ray Vaughan & Double Trouble - Cold Shot,B17CE2591AB059C7021D1B63102B46CC6317931258
[Rocksmith 2014 Edition],2017/07/11,30,2.99,3,The Strokes - Someday,302FA6456D2AF32B3FF15645D2AFA67004B9F85C58
[Rocksmith 2014 Edition],2019/11/26,30,2.99,4,Pat Benatar - We Belong,4ED14ED0554D2B3BA508050D46EA6AC1A5CFCE4C58
[Rocksmith 2014 Edition],2019/01/08,30,2.99,3,Chuck Berry - School Day (Ring Ring Goes The Bell),B484A436C39C657597C1B7A6A9AA1374750C8DAD58
[Rocksmith 2014 Edition],2017/12/19,30,2.99,4,Johnny Cash - Folsom Prison Blues,8EAD0C0CB35BE983BE274C62B129ADEF9F99936A58
[Rocksmith 2014 Edition],2017/03/28,30,2.99,3,Bad Religion- You,EA2686D3B74F6BF3EE81578FC00D11EF945B005758
[Rocksmith 2014 Edition],2017/11/07,30,2.99,3,NOFX - Seeing Double at the Triple Rock,A9491F899A9334ABE322D7FD6ED4350D6E564BB458
[Rocksmith 2014 Edition],2018/04/10,30,9.99,18,Variety Song Pack XIV,74C011904827BEF6588A72FCA2664B709F1405B358
[Rocksmith 2014 Edition],2019/08/20,30,2.99,3,Bloodhound Gang - The Ballad of Chasey Lain,08CBC791E6E1D1127589C4EB0F30889B6982D69C58
[Rocksmith 2014 Edition],2018/03/06,30,2.99,4,Shania Twain - You're Still the One,DF21E1FBEE508B50BE9E650D3D22DC6FD2457D5458
[Rocksmith 2014 Edition],2017/08/08,30,7.99,13,2010s Mix Song Pack III,AF3F6EED2D75F448E90A06ED30D2887F56A174B158
[Rocksmith 2014 Edition],2017/03/07,30,2.99,5,Avril Lavigne - When You're Gone,ADB5C5F85B801BF127747AEEA1AA4C99B1EC2C9758
[Rocksmith 2014 Edition],2017/01/24,30,9.99,20,Variety Song Pack VII,FBC3547D244798B491B6B534A4D2271AE70517E758
[Rocksmith 2014 Edition],2020/01/07,30,2.99,4,Chris Stapleton - Nobody to Blame,E9B0A00B357081BF56F1D314FE25430E43C4C51458
[Rocksmith 2014 Edition],2016/12/13,30,2.99,3,Creedence Clearwater Revival - Proud Mary,77E698838E8B2756FEE1317FB5FB67482627A9F258
[Rocksmith 2014 Edition],2018/04/03,30,7.99,16,Dethklok Song Pack II,8136E7E226BDA5AF1B511086C5D9DC2798430EEC58
[Rocksmith 2014 Edition],2017/09/26,30,2.99,5,Seether - Careless Whisper,F90689FDCC780268F80B024F7C71DDDB3EC69C6558
[Rocksmith 2014 Edition],2017/10/31,30,2.99,6,Amon Amarth - The Pursuit of Vikings,5AADBA122779B397A890AEE42EFEED9C8801639758
[Rocksmith 2014 Edition],2017/03/14,30,2.99,5,Tonic- If You Could Only See,7D4DB6E7359B746F04E3E0570C93666B474B939658
[Rocksmith 2014 Edition],2016/10/11,30,2.99,4,Crossfade - Cold,AB51B63C5078CF5525935EEBB65A7932FB3C46B958
[Rocksmith 2014 Edition],2018/01/30,30,2.99,7,Golden Earring- Radar Love,2AB5E1C4B13670ED6FE7183A9503B9F49B46963658
[Rocksmith 2014 Edition],2018/09/18,30,2.99,5,Stone Sour - Absolute Zero,A6F941611AF9BB261BDBB5070CE2FEBCCA0ECE5A58
[Rocksmith 2014 Edition],2017/05/16,30,2.99,6,Grateful Dead - Uncle John's Band,80CF433B76E9A9E195F4051FD6E899900099213758
[Rocksmith 2014 Edition],2019/03/26,30,2.99,6,Radiohead - Airbag,694F31B64002DA3430AB4F8CF283C94626E1924258
[Rocksmith 2014 Edition],2018/01/16,30,2.99,10,Green Day - Jesus of Suburbia,3C8B7F5AB1BE4E4D8D589AF41C026517663C06BA58
[Rocksmith 2014 Edition],2016/10/18,30,11.99,49,Yes Song Pack,07868562DF6A49495BB858574BADC9AFFDA4879558
[Rocksmith 2014 Edition],2017/01/31,30,7.99,13,Evanescence Song Pack,CBFCF9AA2C444412C788B166EBB8B472BE40ADEB58
[Rocksmith 2014 Edition],2017/08/15,30,2.99,2,Muddy Waters - Mannish Boy,E3CF68613B87C5524C4E9CE457DC42BD5FEE059358
[Rocksmith 2014 Edition],2017/03/28,30,11.99,18,Skater Rock Song Pack,D3865017E4176E917DD38EE21F06770BB2F809EB58
[Rocksmith 2014 Edition],2018/05/15,30,2.99,5,Interpol - Obstacle 1,EE4D1C4AE623CB4412DD78FA7E20838CCF2C6C9958
[Rocksmith 2014 Edition],2017/01/17,30,2.99,3,blink-182 - Feeling This,7801BCF94FC95878C3C051940BA0BB7DDB3F584558
[Rocksmith 2014 Edition],2017/10/03,30,2.99,4,Four Tops - It's the Same Old Song,BB241AA0BA85AF91251F83D1C9C42C6D544B85E858
[Rocksmith 2014 Edition],2018/09/25,30,2.99,5,Coldplay - Paradise,53859DCB8594780FF578B420EEEA484E0A7640AA58
[Rocksmith 2014 Edition],2017/06/20,30,2.99,5,Pantera - Mouth for War,F8409BE6F30608474C4EA54D66716443F548B90B58
[Rocksmith 2014 Edition],2018/04/03,30,2.99,4,Dethklok - Bloodlines,E35C16963324D9EBA03C00667DF714B4977B353158
[Rocksmith 2014 Edition],2018/07/24,30,7.99,15,Joni Mitchell Song Pack,3E488D0091186EF920B30C3A979B9426E878003958
[Rocksmith 2014 Edition],2017/04/18,30,2.99,4,Bob Marley & The Wailers - Buffalo Soldier,479B96490A04DDB2671E92355BDB657B5732EB5758
[Rocksmith 2014 Edition],2019/01/15,30,7.99,13,Paramore Song Pack II,02FC975360A3E55973A194222B4DCE5EA95AD02F58
[Rocksmith 2014 Edition],2017/06/13,30,2.99,6,Live - Lightning Crashes,F3B1B15FE237575FF22E8EED24C619D9998163DF58
[Rocksmith 2014 Edition],2018/09/04,30,2.99,4,Kelly Clarkson - My Life Would Suck Without You,A2BD046C022B4C1952CCAE6A68375B3405F6DF4B58
[Rocksmith 2014 Edition],2019/07/23,30,2.99,7,Manic Street Preachers - Motorcycle Emptiness,E7CDB88AA3324C514FD7B2F03BA6F1CC48D7320058
[Rocksmith 2014 Edition],2017/08/08,30,2.99,4,Bring Me the Horizon - Can You Feel My Heart,8490C9022AB460E8BB0876A22D84CCCCF3773B3058
[Rocksmith 2014 Edition],2019/06/11,30,7.99,18,Trivium Song Pack II,E3F83F75340B1952F78F01DD46BAA3FF1FC7A1C758
[Rocksmith 2014 Edition],2018/04/24,30,2.99,5,New Radicals - You Get What You Give,108E4373FEBB06D5920C3B04AB12CF58D556404B58
[Rocksmith 2014 Edition],2019/07/09,30,7.99,14,The Pretty Reckless Song Pack,DAFDFC1C5ACAC3AB2E74049EDE590AE2B24FBE3858
[Rocksmith 2014 Edition],2019/09/10,30,7.99,14,Kaleo Song Pack,7B5E51F28DDE4203B64DEC8DB2DA3490F3E63B1B58
[Rocksmith 2014 Edition],2018/08/28,30,2.99,7,Grateful Dead - Touch of Grey,1B1FF1B475093E2E7523435EFB5228851E3A83B958
[Rocksmith 2014 Edition],2017/04/18,30,2.99,5,Bob Marley & The Wailers - Could You Be Loved,B316197BB460703917A2A46FD598E8712F43890A58
[Rocksmith 2014 Edition],2019/04/16,30,2.99,5,Ghost - From the Pinnacle to the Pit,C20C9C675F0741FB5D869340BDF999C225AD861458
[Rocksmith 2014 Edition],2019/07/16,30,7.99,15,Indie Rock Song Pack,FE4CB73A39934487829C84436E5E03D8A6D896D358
[Rocksmith 2014 Edition],2020/03/10,30,7.99,14,Sixx:A.M. Song Pack,1DE5C78C442BA7810CAE79B43684936349187E8D58
[Rocksmith 2014 Edition],2019/06/18,30,7.99,13,Rockin' Covers Song Pack II,368381E2AF8822DF6BD060BDCF88C619BE6D790858
[Rocksmith 2014 Edition],2018/10/30,30,2.99,5,Ghost - He Is,46D4AEC24A544F628229EC911ECF39F9440B69ED58
[Rocksmith 2014 Edition],2019/02/12,30,2.99,5,Sabaton - Primo Victoria,D9DE8F6D5C36EE6FB9B3C1A41562D06B020545CA58
[Rocksmith 2014 Edition],2016/12/06,30,2.99,4,Brian Setzer- Stray Cat Strut,D483B31220416209B95808CE9C35E3437B25210458
[Rocksmith 2014 Edition],2018/01/16,30,2.99,5,Green Day - Welcome to Paradise,07CCAD8AC1E3DBE5205B2B47CF147A32F2F0447058
[Rocksmith 2014 Edition],2019/04/16,30,2.99,6,Annihilator - Alison Hell,71F1634F624FF0C69A914E1CD8C4FC3F68AC41F358
[Rocksmith 2014 Edition],2020/02/18,30,2.99,4,Babes In Toyland - Bruise Violet,FB1F96D4C0C88AD0EFDA137D64536C5C11D2CA6958
[Rocksmith 2014 Edition],2017/09/05,30,2.99,5,3 Doors Down - Be Like That,E2181FF2DCF332329385528ECEAF547236C1397158
[Rocksmith 2014 Edition],2019/09/17,30,2.99,4,Set The Charge - Everything But Me,240D78DBC334587D3177EE4FF1C5EFE80D6E3CCC58
[Rocksmith 2014 Edition],2018/05/29,30,7.99,10,Norah Jones Song Pack,53E79AE247B200B75DB1AFC1C288FB33F4015D9658
[Rocksmith 2014 Edition],2017/04/04,30,2.99,5,Pearl Jam - Yellow Ledbetter,5B5183E9C9A230A6C0C157F4AC8A5CF723A3315658
[Rocksmith 2014 Edition],2016/11/15,30,2.99,3,Stevie Ray Vaughan & Double Trouble - Scuttle Buttin',A846D7BA6BC365A9544B4F0F2636C4830936B01F58
[Rocksmith 2014 Edition],2018/12/18,30,2.99,4,The Rolling Stones - Brown Sugar,F37AD8AE504A367A1F0C6980EE81D975B6C0F38758
[Rocksmith 2014 Edition],2019/05/07,30,2.99,4,Cyndi Lauper - True Colors,0FBA4B5368D0501DC9AD05AC2EA14F88905705F358
[Rocksmith 2014 Edition],2018/11/13,30,2.99,6,Bob Marley & The Wailers - Stir It Up,73E2FA0C45537F58FA4278CE51C45B4762E4621858
