Title,ReleaseDate,TypeCode,Price,Size,DLCName,Hash
[0 day Attack on Earth],2010/02/03,20,6.99,114,Night Missions Map Pack,4942E61AFD9154744E668C0B9AEFE57800AAEABE58
[0 day Attack on Earth],2010/01/13,20,6.99,94,London Map Pack,51A36D8B3D51B0E5983B9A0A63EB5EB4877F582358
[0D Beat Drop],2010/02/03,10,3.99,18,01:Blaz Blue Special Skin and BGM Pack,B22616C93E1193319EEA161A2E95977B19524E3558
[3D Ultra™ Minigolf],2007/07/25,10,4.99,23,Expansion - 3D Ultra Minigolf Adventures: Lost Island,514E12B978B4CFE1646424CCC2E35751FE43582C58
[A Kingdom for Keflings],2009/12/09,10,1.99,0,Kingdom Pack 1,9A7C88D4E0745CC6901D46921C36A99F0CBC394858
[A Kingdom for Keflings],2009/12/09,10,1.99,0,Kingdom Pack 2,B2BF5998B5D2551BB9B9030A20A89F2CA689D48258
[A World of Keflings],2011/10/26,20,3.99,14,It Came From Outer Space,E34D0DF5E2904526A9880DF02A5D75C022F32EF358
[A World of Keflings],2012/10/17,20,3.99,19,The Curse of the Zombiesaurus,BEBC6FFCEEE61C40FD6C328F5617BC02CA30FFCD58
[A World of Keflings],2012/10/10,20,3.99,16,"Sugar, Spice and Not So Nice",E12657939A5641538FCFDB50CEF013EEC4967D8F58
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Pestor's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Glop'Ee's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Fridge's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Krystale's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Moss's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Sabre's Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Ricky Jr.'s Board,ED8A01304EE4074077383264C094C149ED650AF258
[ADRENALIN MISFITS],2010/11/09,10,1.00,0,Blaizer's Board,ED8A01304EE4074077383264C094C149ED650AF258
[Air Band],2011/08/22,10,0.00,360,Air Band,3668E6696AE654A73303DF0AB193545A0DDADF1C58
[Alan Wake],2010/07/09,30,6.99,285,Alan Wake: The Signal,877279780907BCF5779ADE7E1A80CAC31E80BE5358
[Alan Wake],2010/10/12,30,6.99,335,Alan Wake:The Writer,7E178CE4269463FE55AB91CCD77FD031C9EF587D58
[Alice: Madness Returns],2011/06/14,40,0.00,954,American McGee's Alice™,AA9DA5D4074AF56204D8A2C92719E0062FBCAE7558
[Alice: Madness Returns],2011/06/14,40,1.99,0,Weapons of Madness and Dresses Pack,D9A4B72B89A521542CD1AA6261B4A5D920915D8158
[Alien Hominid HD],2007/07/25,30,1.88,0,Alien Hominid HD - Challenge Pack,E36F60B1536890ED1B01CB22CB323F7D881630CF58
[Alien Hominid HD],2007/05/23,30,1.88,0,Alien Hominid HD - PDA Classic Pack 1,678C39F55B1725E563D8FE62756329578A0DA88E58
[Alien Hominid HD],2007/06/20,30,1.88,0,Hominid HD - PDA Classic Pack 2,9E10E66DA121CF5141E6C5C990A359B1B99E648B58
[Alien Hominid HD],2007/04/25,30,1.88,0,Alien Hominid HD - PDA Euro Pack,0A354CD6D5F7255E79B284FA0E029765B5AEA94758
[Alien Hominid HD],2007/04/04,30,1.88,0,Alien Hominid HD - PDA Hot New Levels,7F6E8624894243F878C193D81961CE997DA5D98358
[Alien Spidy],2013/07/23,10,1.99,0,Alien Spidy - Between a Rock and a Hard Place,74B7C3C033E67D240324A867BAA117F76D174EF858
[Alien Spidy],2013/07/16,10,1.99,0,Alien Spidy - Easy Breezy,C1712B482DA4E2E5C8C48C83B4208652733C7D9E58
[Alien: Isolation],2014/10/07,40,3.99,113,Alien: Isolation Crew Expendable Bonus Content,8D335C5A98124E7A7D413F4C66625A3E6FC0AFD958
[Alien: Isolation],2014/10/07,40,29.99,0,Alien: Isolation Season Pass,6EF06E13A0D161D9A800E7191E305820512986F558
[Alien: Isolation],2014/10/14,40,3.99,95,Alien: Isolation Last Survivor Bonus Content,71A8CB158390E633998939493B9C204F90B1991458
[Alien: Isolation],2015/02/10,40,7.99,224,Alien: Isolation - Lost Contact,6BEC79936E885CD17498EF890997F9BAA1655E3E58
[Alien: Isolation],2015/03/03,40,7.99,388,Alien: Isolation - The Trigger,6CA9943014CE691A3DF68AF9FB2B47910D2BCA4D58
[Alien: Isolation],2014/10/28,40,7.99,394,Alien: Isolation - Corporate Lockdown,893CAB72EBE43992A9A5C942A65F4D649411A04258
[Alien: Isolation],2015/01/13,40,7.99,248,Alien: Isolation - Safe Haven,0EFB8D848377B4230202E4D30DC3531DC2E82CBC58
[Alien: Isolation],2014/12/02,40,7.99,431,Alien: Isolation - Trauma,FB58258E00E3B63E2B5689FCC55DD7AEE4D37C6158
[Aliens vs Predator],2018/11/29,40,6.99,268,Swarm Map Pack,D8178C20E55D3AB2DF28302C9FED30842F6636EA58
[Aliens vs Predator],2018/11/29,40,3.99,275,Bughunt Map Pack,8B860433C77B38BC7F3AE28A3203994230EBA33A58
[Aliens: Colonial Marines],2013/05/28,40,1.00,0,Aliens: Colonial Marines Sawed-off Double Barrel Shotgun,711186B75151E1AF8F75EBFCC07BF945DDB43B9B58
[Aliens: Colonial Marines],2013/05/28,40,4.99,0,Aliens: Colonial Marines Collector's Edition pack,0C3AD136DEB6467205F67E43D1B22186E0787B9358
[Aliens: Colonial Marines],2013/05/21,40,1.00,0,Aliens: Colonial Marines Monster Customization,9170C4FFC9A0E2CAB2657C4D624EB11DD855272658
[Aliens: Colonial Marines],2013/05/07,40,9.99,98,Aliens™: Colonial Marines - Reconnaissance Pack,6649758B2BDBE4468C5A39656731BEEA94E8004658
[Aliens: Colonial Marines],2013/07/23,40,9.99,1943,Aliens: Colonial Marines - Stasis Interrupted,A557497838BE82D0C9D2D782AD573BEF7CF8018658
[Aliens: Colonial Marines],2013/03/19,40,14.99,170,Aliens: Colonial Marines - Bug Hunt DLC,D8FD1C6B44D1796E049BC7B08C8429FF4B20977B58
[Aliens: Colonial Marines],2013/02/12,40,29.99,0,Aliens: Colonial Marines Season Pass,54D23D4BF22E70E395562DA5BDFAB419AB3A773A58
[Aliens: Colonial Marines],2013/05/21,40,1.00,0,Aliens: Colonial Marines SHARP Sticks,925D94B63519F34A87567FFACD45397A7F17223758
[Aliens: Colonial Marines],2013/06/11,40,9.99,145,Aliens™: Colonial Marines - Movie Map Pack,AFFFA122A5883E468F5F7D0586C6CC349CFFE2D958
[Aliens: Colonial Marines],2013/05/28,40,4.99,0,Aliens: Colonial Marines Limited Edition pack,851882F29EE4127EC48DD76D68034DF4F9F16CF058
[All Pro Football 2K8],2007/07/18,10,4.99,0,2K ReelMaker for All Pro Football 2K8,A8582560C69AD0FFD200BF7BF37CD99E4ABA3A7F58
[ANARCHY REIGNS],2013/04/10,40,2.99,3,ANARCHY REIGNS - Bayonetta Pack,74B295D2089CB8A76520B40DBD1043058021E19658
[ANARCHY REIGNS],2013/04/10,40,1.99,1,ANARCHY REIGNS - Exclusive Modes Pack,37BED37EC5A9F437D8D7143782909A47D051D12F58
[Ancients of Ooga],2011/05/18,20,1.99,0,The Forgotten Chapters,A24CA35E6CD35D7E8C9239685B229E60273FB67258
[ArcaniA],2013/08/23,30,9.99,1838,ArcaniA - Fall of Setarrif,B236F162602D6651D35298B255DADD057D9D055558
[ARKANOID Live!],2009/06/17,10,2.99,1,ARKANOID Live! Episode Add-on Pack 1,C71888FB76FECE362E5ABB41637E659F0E1C2E3F58
[ARKANOID Live!],2009/06/17,10,2.99,0,ARKANOID Live! Episode Add-on Pack 2,67BFF16771D4B5BA11057CC49F97E3BFB88D0AD858
[ARMORED CORE™: VERDICT DAY™],2013/10/15,30,0.00,814,Compatibility Pack 1,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Workshop Set 14,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,CPU Voice 2,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set LEG 2,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,2.99,814,UNAC Set 3,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Parts Unlock Set 2,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set HEAD 3,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set CORE 2,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set CORE 1,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,CPU Voice 1,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/11/12,-65535,1.00,814,Pilot 10,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Parts Unlock Set 1,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set ARM 4,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set LEG 1,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2014/01/15,30,9.99,215,ACVD Alternate Music Set,FD8A103A1CE608395ECC7B7CB82A3D3CFB5DCA2558
[ARMORED CORE™: VERDICT DAY™],2013/10/29,-65535,1.99,814,CPU Voice 3,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/29,-65535,1.00,814,Pilot 8,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/11/12,-65535,6.99,814,CPU Voice Complete Set 1,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,2.99,814,UNAC Set 1,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,2.99,814,UNAC Set 5,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,2.99,814,UNAC Set 4,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set ARM 2,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Workshop Set 12,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Team Emblem Set 7,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Workshop Set 11,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,814,Pilot 6,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/11/12,-65535,4.99,814,Pilot Complete Set 2,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,0.00,0,Repainted Parts Trial Set,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set LEG 3,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Workshop Set 10,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Team Emblem Set 5,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,30,14.99,0,Repainted Parts  Complete Set,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set ARM 1,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set HEAD 2,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,14.99,814,UNAC Complete Set,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,4.99,814,Parts Unlock Complete Set,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/29,-65535,2.99,814,UNAC Special Set 1,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/11/12,-65535,1.00,814,Pilot 9,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,4.99,814,Team Emblem Complete Set 2,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/29,-65535,1.00,814,Pilot 7,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,2.99,814,UNAC Set 2,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set CORE 3,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/29,-65535,4.99,814,UNAC Special Complete Set,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/11/12,-65535,1.99,814,CPU Voice 4,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Parts Unlock Set 3,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,0,Repainted Parts Set HEAD 1,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/29,-65535,2.99,814,UNAC Special Set 2,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Workshop Set 13,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,2.99,814,UNAC Set 6,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.00,814,Pilot 5,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,2.99,0,Repainted Parts Set WEAPON,2BA636B25C1CEBA3727795A27A6CDD11061FE27658
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,1.99,814,Team Emblem Set 6,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[ARMORED CORE™: VERDICT DAY™],2013/10/22,-65535,7.99,814,Workshop Complete Set 3,8ECA16BF830B80588E2C1CD94BCA12C2995FA34358
[Assassin’s Creed® IV],2013/12/03,40,0.00,546,Assassin’s Creed®IV Compatibility Pack 1,1C5008BE142A0C330E3E9636240658D4944A56C558
[Assassin’s Creed® IV],2013/12/17,40,9.99,1380,Assassin’s Creed® IV Black Flag™ – Freedom Cry,12C1D4A8F1486550B296F2742EA3E7DF2D8DF8C058
[Assassin’s Creed® IV],2013/10/08,40,19.99,0,Assassin's Creed ®IV Season Pass,F9BB3C4111D9490A90883DEDF541CB0BBF9B506058
[Assassin’s Creed® IV],2013/10/29,40,0.99,0,Assassin’s Creed®IV Black Flag™ Death Vessel Pack,AA51E129DA57C4FF21C49F37D36033202518153858
[Assassin’s Creed® IV],2013/11/19,40,1.99,0,Assassin’s Creed® IV Black Flag Florentine and Crusader Pack,FF34534D66EB7718DFFED36BCABB083EB71609B158
[Assassin’s Creed® IV],2013/10/29,40,1.99,0,Assassin’s Creed®IV Time saver: Technology Pack,66ED1BD47BFBE9C5C951C25BA6CBB7B95FBD5F8E58
[Assassin’s Creed® IV],2014/01/07,40,6.99,0,Assassin’s Creed® IV Illustrious Pirates Pack,21DA562EE862CD94C24F320F32F25385163B162058
[Assassin’s Creed® IV],2013/12/10,40,2.99,0,AC4 MP Characters Pack #1 Blackbeard’s Wrath,BD011C4B513903D1D1813ABA1BE9333353501AD558
[Assassin’s Creed® IV],2013/10/29,40,0.99,0,Assassin’s Creed®IV Time Saver: Activities Pack,1C2678BE7EF95411B1F6DF522451C3E2F6424D2158
[Assassin’s Creed® IV],2013/10/27,40,14.99,0,Assassin’s Creed®IV Multi-player Appearance Pack,5DBCD034FCA4291C42570F9597D8D9516BD4F2AD58
[Assassin’s Creed® IV],2014/02/11,40,2.99,0,AC4 Multiplayer Characters Pack #2 Guild of Rogues,36323CA776B30C5855CE80972FC0FA6ED04E1BC558
[Assassin’s Creed® IV],2013/10/29,40,0.99,0,Assassin’s Creed®IV Time saver: Collectibles Pack,0A736739B477074C4B87414D1BB9FF8A51A2A67958
[Assassin’s Creed® IV],2013/10/27,40,14.99,0,Assassin’s Creed®IV Multi-player Gameplay Pack,2C4C93B495F968E6A119B377BAFAE7C3AACC261058
[Assassin's Creed Brotherhood],2010/12/14,40,0.00,135,Assassin's Creed Brotherhood - Animus Project Update 1.0 DLC,CAD6EAD30DCD1471AB499963669D7E436443D92558
[Assassin's Creed Brotherhood],2011/01/18,40,0.00,155,Assassin's Creed Brotherhood - Animus Project Update 2.0 DLC,BB8C7140AD493B4D5AC152D0D7CFF265D8A28BB258
[Assassin's Creed Brotherhood],2011/03/08,40,9.99,1370,Assassin's Creed Brotherhood - The Da Vinci Disappearance DLC,1109C7E4AEF366B9FFE229B672F0A12884320A9558
[Assassin's Creed II],2010/07/26,40,3.99,653,Sequence 12: Battle of Forli,9B0E0B9A9629EF4B553F2ADA7F7144A01DB73EF258
[Assassin's Creed II],2010/07/26,40,6.99,1085,Sequence 13 : Bonfire of the Vanities & Secret Locations,3DB5AA29C520530E185B4DC77AD7EDC64A4BF37D58
[Assassin's Creed II],2010/02/18,40,3.99,1085,Sequence 13: Bonfire of the Vanities,1B6ED3D86C2462DA3B6234EBD9A3F2EA6BEB52F958
[Assassin's Creed Revelations],2012/01/24,40,9.99,553,Assassin's Creed Revelations -- Mediterranean Traveler Map Pack,ED17012638113A3DBD5DA2EB0700DB8F364BA4D858
[Assassin's Creed Revelations],2012/01/24,40,0.00,553,Assassin's Creed Revelations -- Mediterranean Traveler Map Pack Trial,ED17012638113A3DBD5DA2EB0700DB8F364BA4D858
[Assassin's Creed Revelations],2011/12/13,40,3.99,0,The Ancestors Character Pack,8AB1465D8753F58DA8606D16282F69307C99F94458
[Assassin's Creed Revelations],2012/02/28,40,9.99,551,Assassin's Creed Revelations -- The Lost Archive,6837A849D739033C24022C40D2CDEE8F5E51B7A958
[Assassin's Creed® III],2012/12/11,40,0.00,308,Assassin's Creed® III - Language Pack – Brazilian Portuguese,061B74588D76A56CDFCB877EB440F56225190F6958
[Assassin's Creed® III],2012/12/11,40,4.99,1,Assassin's Creed® III - The Hidden Secrets Pack,F54921D27863A4E0C7FE287FAE97D8186BA299A258
[Assassin's Creed® III],2012/10/30,10,29.99,0,Assassin's Creed® III Season Pass,0CFD3EBC02845E61F19481188E824A5B550B23FB58
[Assassin's Creed® III],2013/03/19,40,9.99,1209,Assassin’s Creed® III The Betrayal,4500BAAA2F357658F09D8FF21EF3642B55BDAD0758
[Assassin's Creed® III],2013/02/19,40,9.99,986,Assassin’s Creed® III The Infamy,801F1F85D931F1701B33C2E42A72C31C913B80FB58
[Assassin's Creed® III],2013/04/23,40,7.99,1460,Assassin’s Creed® III The Redemption,9269191258FB54973EEAAA2422D9E27E1E356CE958
[Assassin's Creed® III],2013/01/08,40,9.99,454,Assassin's Creed® III: The Battle Hardened Pack,BDA58EAAC9E7A64A8DC71A793F87074B9E45D2A558
[Assassin's Creed® III],2012/10/30,40,14.99,0,Assassin's Creed® III Appearance Pack,FD41972CD443AF2D53C44C794472F3C5CB76B60558
[Assassin's Creed® III],2012/10/30,40,14.99,0,Assassin's Creed® III Gameplay Pack,005EE45E68EB0DDAF128A22A5BBECBF2B6A35F2658
[Assassin's Creed® Rogue],2015/01/13,40,6.99,0,Assassin's Creed Rogue® - Templar Legacy Pack,BF1B17B33ABCD019CB0CBE5AEED4BB2AFC6B96C558
[Assassin's Creed® Rogue],2014/11/11,40,0.99,0,Assassin’s Creed® Rogue Time saver: Collectibles Pack,F7052BEDF267143ACE5725E58EE7D3AB10EA136358
[Assassin's Creed® Rogue],2014/11/11,40,1.99,0,Assassin's Creed® Rogue - Time Saver: Technology Pack,934220BDC74BB6EADBD13B0D7217456BB7F9BCAE58
[Assassin's Creed® Rogue],2014/11/11,40,0.99,0,Assassin’s Creed® Rogue Time Saver: Activities Pack,6961A3FFD030CB236896D4F39EC2C1FBCE6123EE58
[Assault on Dark Athena],2009/05/21,40,0.00,185,‘Escape From Butcher Bay’ Commentary Mode,F2A6EEA082F82D60A9DB02F2AF84983B73FEC02258
[Assault on Dark Athena],2009/05/21,40,9.99,275,The Chronicles of Riddick: AODA Premium MP Pack,DAC057358FCC42606BDC329073B780FF21DFB56458
[ASURA'S WRATH],2012/04/24,30,6.99,1660,Episode Pack: Part IV,78E95E38A274CA2033EB0517828152A3038C11C958
[ASURA'S WRATH],2012/05/08,30,1.99,149,Lost Episode 1,981ED33639F0A6275BA34BDD2E3D276C16F94A6D58
[ASURA'S WRATH],2012/05/15,30,1.99,231,Lost Episode 2,F56F8734F04D89EAB07E9003A7F48DE046DA57B758
[ASURA'S WRATH],2012/03/27,30,1.99,1080,Episode 11.5,8A6811EC2255FE171FAF9E4372B23B1B0581E4CA58
[ASURA'S WRATH],2012/04/03,30,1.99,1212,Episode 15.5,E2AFB00ED67E4B55C63F8DA33C0F8783F88E29B858
[Avatar Kinect],2011/07/25,-65535,0.00,536,Avatar Kinect,6FEB76FE44269EC66B0F59DF0C3A49054D0833CC58
[Band of Bugs],2007/10/10,10,3.13,5,Band of Bugs - Ninja Sticks of Fury,A523BFA3DC5EE2661FB45ECDCAA2D93862229DEC58
[Band of Bugs],2007/08/08,10,3.13,3,Band of Bugs - Red Kingdom,96549D8A68D637BC0FD757B7A5F24EC7B21886E358
[Band of Bugs],2009/07/08,10,2.99,10,Band of Bugs - Tales of Kaloki,1BFA4FD1FBBD9881DFDBC4085C9B0F101998DCE358
[Band of Bugs],2007/07/25,10,1.88,0,Band of Bugs - Map Pack 1,8D0E1782949BC44BA1FC311A13391DCB264CDC0358
[Band of Bugs],2007/07/25,10,0.00,0,Band of Bugs - Map Pack 2,9D185D3ED176B0AB09861192E8753DA85E9B09A558
[Band of Bugs],2007/09/12,10,1.88,0,Band of Bugs - Map Pack 3,86FBD85E01B16B475BE30058B88E0E27B6DC573C58
[Banjo Kazooie: N n B],2009/04/07,20,4.99,80,L.O.G.'s Lost Challenges,E41F20AAF7094B9AFCA8CC90489D689D72A5062B58
[Bastion],2011/12/14,20,1.00,23,Bastion: Stranger's Dream DLC,51DD22FD8D0EC4DB4640CFDE7C42881F3707A31258
[Batman: Arkham City],2011/10/18,30,9.99,236,Catwoman Bundle Pack,58005E5180D92EDC3D05406C0A3A07D3ADBE7FBF58
[Batman: Arkham City],2011/12/20,30,0.00,5,Batman Inc. Batsuit Skin,6559B286F8F5842759BD5E2C12FB7689CCF38D0E58
[Batman: Arkham City],2011/12/06,30,4.99,42,Arkham City Skins Pack,CD4ABBA628AC16A7CD26C099B9A569123BA374CD58
[Batman: Arkham City],2012/05/29,30,9.99,877,Harley Quinn's Revenge,845313E574B8BA90E2610B70DB2535132A1525F858
[Batman: Arkham City],2011/12/20,30,2.99,104,Challenge Map Pack,0486C2F0A575E10053FA9E115EE5E7B1B32947C258
[Batman: Arkham City],2011/11/22,30,6.99,114,Robin Bundle Pack,A161C3A46D4136120FDEB1B81A9155CFD18E10B258
[Batman: Arkham City],2011/11/01,30,6.99,94,Nightwing Bundle Pack,50A61C504657543FC8A28977D6C9C9D810311C3658
[Batman: Arkham City],2011/12/20,30,14.99,244,The Arkham Bundle,8327624DCA6B7B369FC9233967C3D1474445547358
[Batman: Arkham Asylum],2009/09/17,30,0.00,117,Insane Night Map Pack,BB144A243565932C248972B681DE16EF8EB0925758
[Batman: Arkham Asylum],2009/08/20,30,2.99,45,Dem Bones Challenge Map,63F587CB92A4E719BD175CD8FDB76B116A690F0358
[Batman: Arkham Asylum],2009/08/20,30,2.99,52,Crime Alley Challenge Map,700EC6CAA1DBB88B1204BA64EA923EA217577D7058
[Batman: The Telltale Series],2016/09/14,40,19.99,0,Batman - The Telltale Series - Season Pass,5FF6506366E99F85363C7D05FB4C5AE9DE5080AB58
[Batman: The Telltale Series],2016/09/27,40,4.99,618,Batman - The Telltale Series - Episode 2: Children Of Arkham,0D44EAEB9D82CC3240A896898A4B9FC652F554E858
[Batman: The Telltale Series],2016/11/22,40,4.99,656,Batman - The Telltale Series - Episode 4: Guardian of Gotham,C04AB7C179F0B9B0E6FEA39179188DE0AD1C244B58
[Batman: The Telltale Series],2016/10/25,40,4.99,650,Batman - The Telltale Series - Episode 3: New World Order,7577EAF9BF960A87FAFB510011305FC24392D1B358
[Batman: The Telltale Series],2016/12/13,40,4.99,707,Batman - The Telltale Series - Episode 5: City of Light,C71391643122212AF1D0BBCF9D4B0C608B5A62A958
[Battle Stuff],2011/11/28,10,0.00,169,Battle Stuff,D98B07B61BDAFA56CCDB9E5363F468DE415C018458
[Battlefield 3™],2013/03/12,40,0.00,1422,Battlefield 3™ Multiplayer Update 6,74AFBA8A2541CB824BF45515227945A89008C0D758
[Battlefield 3™],2011/12/20,40,0.00,0,Physical Warfare Pack,F6474B67AFFEE80E86B2A2C8D68E88558A07969F58
[Battlefield 3™],2012/06/04,40,0.00,1822,Battlefield 3™ Close Quarters content update,02098D9872584D5CE67BFEC1BC675851F1A37FB058
[Battlefield 3™],2011/12/13,40,0.00,1662,Battlefield 3™ Back to Karkand content update,3E1A8AA2C28BCCF2791C28C6478DCB60C956DB5158
[Battlefield 3™],2012/04/03,40,6.99,0,Assault Kit Shortcut,D8711E80BF9A2D70A29B53839B12CFB2F8E17D4558
[Battlefield 3™],2012/04/03,40,4.99,0,Co-op Weapons Shortcut,D2681388245F918FEB8C70A5FE80C0E69431C81E58
[Battlefield 3™],2012/06/04,40,19.99,0,BATTLEFIELD 3™ PREMIUM,7DB10D67915F6E3DF3828F4FEAA45A21DEBF4B2D58
